TransactionID,AccountID,TransactionType,Amount,TransactionDate
121047,632,Credit,806540.29,2022-05-19
198316,626,Credit,120995.06,2022-09-20
106906,105,Debit,840616.69,2020-04-26
187886,1323,Credit,497963.54,2019-05-02
144803,791,Debit,570004.8,2022-06-28
177921,852,Credit,73212.03,2020-11-07
139552,346,Debit,779665.4,2022-02-08
145062,289,Debit,264352.26,2019-06-07
150210,16,Credit,85268.71,2020-11-08
151941,1033,Credit,28223.45,2020-04-01
102864,1112,Credit,46955.7,2020-03-22
122412,1170,Debit,81067.48,2022-08-05
170358,85,Debit,250393.06,2020-11-14
162153,1221,Credit,860553.04,2023-03-29
182022,1261,Credit,127494.7,2022-05-02
150466,310,Credit,134279.16,2023-02-09
154456,476,Credit,234915.5,2022-03-02
108355,1024,Credit,807983.92,2022-11-20
156181,1308,Credit,683690.24,2022-05-31
187857,333,Debit,618842.49,2021-04-30
121593,1329,Credit,144703.58,2020-05-19
145925,936,Debit,992438.41,2020-12-07
100532,122,Credit,457364.86,2023-12-09
160461,822,Debit,291402.56,2020-04-18
107593,210,Credit,257470.64,2020-01-28
164985,937,Debit,716132.74,2021-08-11
135376,234,Debit,68185.93,2020-08-14
102768,464,Debit,747270.1,2020-11-15
127553,1370,Credit,538076.09,2023-05-09
128913,32,Debit,434622.76,2019-04-27
101956,842,Debit,132882.46,2022-04-08
115573,1490,Debit,654318.35,2021-11-12
147034,894,Debit,992626.16,2020-11-29
109535,1115,Credit,834530.39,2023-04-09
145738,5,Debit,392705.33,2022-05-13
176490,235,Debit,290214.51,2019-06-19
142853,1370,Credit,48955.6,2022-02-10
148186,294,Credit,554792.59,2023-02-18
157701,847,Credit,953355.3,2023-12-28
176066,1014,Credit,470164.0,2020-07-13
143825,1347,Credit,747372.29,2022-01-14
118874,1105,Credit,374491.11,2021-10-12
147836,93,Credit,452953.1,2021-02-02
118475,254,Debit,389415.72,2022-03-27
102610,1441,Debit,195074.87,2023-02-15
141970,788,Debit,50035.49,2023-04-22
110450,521,Credit,801124.84,2021-06-12
188102,977,Credit,682474.34,2023-07-13
178349,148,Credit,547471.48,2021-03-31
107326,33,Credit,476262.57,2019-05-31
155822,159,Debit,963727.26,2021-08-25
150091,185,Credit,313304.29,2020-09-04
183955,1246,Debit,337385.33,2019-12-25
169107,1245,Debit,857333.26,2021-03-08
128787,356,Credit,592980.26,2023-01-08
184922,542,Credit,611408.96,2020-08-17
157074,599,Credit,944694.23,2020-05-21
111351,1403,Debit,257662.24,2023-04-08
152152,1430,Credit,480145.07,2019-11-14
158123,41,Credit,677637.6,2023-11-18
112635,620,Credit,571920.78,2019-12-21
188823,874,Credit,211975.54,2022-11-11
172511,95,Credit,916736.68,2023-04-03
158712,1019,Debit,416553.39,2019-06-29
126894,1203,Credit,797204.12,2022-09-12
191490,1156,Debit,594612.89,2020-07-20
170849,563,Credit,643948.62,2021-10-11
194483,1351,Credit,517967.69,2021-02-21
168927,485,Credit,878854.53,2022-01-31
131011,361,Debit,670958.96,2020-04-22
131540,468,Debit,71714.67,2024-03-03
198167,730,Debit,234282.91,2023-11-08
138090,765,Credit,237246.14,2023-09-03
166330,736,Credit,963054.15,2021-10-01
194710,1109,Credit,992767.91,2019-12-09
128361,790,Debit,920338.22,2023-03-28
166113,1218,Debit,909108.23,2021-04-28
132200,816,Debit,578624.26,2021-12-06
100575,1321,Credit,736203.25,2024-01-14
147426,405,Credit,638653.4,2023-02-27
190471,435,Credit,861529.71,2020-06-01
122725,113,Debit,349040.95,2021-08-16
113595,530,Debit,760510.04,2020-10-23
114529,281,Debit,303580.93,2019-09-07
136567,979,Debit,935246.4,2019-10-20
145788,1341,Debit,93314.71,2019-05-28
169929,1375,Debit,41035.81,2020-02-26
188171,855,Debit,634151.8,2024-03-14
144686,1156,Debit,383446.8,2023-03-05
118831,728,Debit,262179.94,2024-03-07
197936,772,Credit,396573.88,2023-03-02
134620,533,Credit,844087.42,2021-02-24
129638,72,Debit,828409.57,2020-07-20
126773,72,Credit,286303.61,2019-11-15
186979,356,Debit,116981.99,2019-12-13
107329,445,Credit,760560.75,2020-06-23
188232,410,Debit,225328.88,2019-11-24
142493,1003,Credit,967707.64,2021-02-12
136648,449,Debit,878649.3,2021-10-29
196224,1018,Debit,501506.73,2023-08-06
144395,928,Credit,574308.12,2020-09-02
197817,724,Debit,227506.83,2019-11-04
171935,1220,Debit,717121.97,2021-10-18
140028,814,Debit,248362.59,2023-02-07
177791,1407,Debit,36456.51,2022-12-31
161398,1453,Credit,510068.79,2024-02-07
131916,694,Credit,577929.69,2023-01-11
150952,685,Debit,426685.73,2020-12-24
115383,760,Debit,649368.05,2020-03-04
